PlanKey,MonthStartDate,RegionKey,ProductKey,PlanRevenue,PlanCost,PlanBookings
PL202402R01P004,2024-02-01,R01,P004,85651.35,29209.90,12.0
PL202402R01P005,2024-02-01,R01,P005,92820.35,31498.97,12.0
PL202402R01P006,2024-02-01,R01,P006,60746.55,16967.11,34.0
PL202402R01P007,2024-02-01,R01,P007,64074.33,19898.17,27.0
PL202402R01P008,2024-02-01,R01,P008,110644.73,40950.00,10.0
PL202402R02P001,2024-02-01,R02,P001,64333.42,26095.21,23.0
PL202402R02P002,2024-02-01,R02,P002,74357.59,33735.32,19.0
PL202402R02P003,2024-02-01,R02,P003,72471.93,27351.61,12.0
PL202402R02P004,2024-02-01,R02,P004,92271.87,30735.15,13.0
PL202402R02P005,2024-02-01,R02,P005,91294.14,30392.84,11.0
PL202402R02P006,2024-02-01,R02,P006,61145.48,17407.60,34.0
PL202402R02P007,2024-02-01,R02,P007,65864.65,19765.90,28.0
PL202402R02P008,2024-02-01,R02,P008,93386.55,34570.25,9.0
PL202402R03P001,2024-02-01,R03,P001,68013.52,27962.37,25.0
PL202402R03P002,2024-02-01,R03,P002,80504.81,36774.74,20.0
PL202402R03P003,2024-02-01,R03,P003,81366.44,32814.89,14.0
PL202402R03P004,2024-02-01,R03,P004,95146.84,33463.41,13.0
PL202402R03P005,2024-02-01,R03,P005,101375.16,34762.89,13.0
PL202402R03P006,2024-02-01,R03,P006,64371.82,19135.12,36.0
PL202402R03P007,2024-02-01,R03,P007,72924.71,23883.29,31.0
PL202402R03P008,2024-02-01,R03,P008,107273.32,40374.11,10.0
PL202402R04P001,2024-02-01,R04,P001,66293.75,27436.57,24.0
PL202402R04P002,2024-02-01,R04,P002,71368.26,31640.89,18.0
PL202402R04P003,2024-02-01,R04,P003,77229.15,28985.15,13.0
PL202402R04P004,2024-02-01,R04,P004,85380.89,29465.56,12.0
PL202402R04P005,2024-02-01,R04,P005,82065.46,27171.31,10.0
PL202402R04P006,2024-02-01,R04,P006,57540.28,15948.18,32.0
PL202402R04P007,2024-02-01,R04,P007,65200.87,21187.22,27.0
PL202402R04P008,2024-02-01,R04,P008,90969.41,33552.15,9.0
PL202402R05P001,2024-02-01,R05,P001,68061.08,27904.80,25.0
PL202402R05P002,2024-02-01,R05,P002,78173.53,35411.06,20.0
PL202402R05P003,2024-02-01,R05,P003,77489.23,29967.66,13.0
PL202402R05P004,2024-02-01,R05,P004,97450.77,33789.22,13.0
PL202402R05P005,2024-02-01,R05,P005,98737.58,33652.40,12.0
PL202402R05P006,2024-02-01,R05,P006,67142.91,19173.62,37.0
PL202402R05P007,2024-02-01,R05,P007,64080.04,19042.74,27.0
PL202402R05P008,2024-02-01,R05,P008,99623.29,36934.06,9.0
PL202402R06P001,2024-02-01,R06,P001,64862.63,26909.91,24.0
PL202402R06P002,2024-02-01,R06,P002,75775.81,35450.02,19.0
PL202402R06P003,2024-02-01,R06,P003,80214.14,30916.01,14.0
PL202402R06P004,2024-02-01,R06,P004,92016.02,32832.23,13.0
PL202402R06P005,2024-02-01,R06,P005,94255.19,32332.19,12.0
PL202402R06P006,2024-02-01,R06,P006,59915.10,16525.75,33.0
PL202402R06P007,2024-02-01,R06,P007,62858.99,20095.76,26.0
PL202402R06P008,2024-02-01,R06,P008,100114.57,36912.64,9.0
PL202403R01P001,2024-03-01,R01,P001,81336.34,33599.25,30.0
PL202403R01P002,2024-03-01,R01,P002,79207.54,36797.82,20.0
PL202403R01P003,2024-03-01,R01,P003,85028.35,32029.92,14.0
PL202403R01P004,2024-03-01,R01,P004,98815.55,32735.26,14.0
PL202403R01P005,2024-03-01,R01,P005,112192.18,38608.47,14.0
PL202403R01P006,2024-03-01,R01,P006,69108.59,19207.66,38.0
PL202403R01P007,2024-03-01,R01,P007,77219.09,24371.97,33.0
PL202403R01P008,2024-03-01,R01,P008,132115.64,46631.68,12.0
PL202403R02P001,2024-03-01,R02,P001,71042.73,30991.46,26.0
PL202403R02P002,2024-03-01,R02,P002,76734.59,35124.64,19.0
PL202403R02P003,2024-03-01,R02,P003,84762.33,32266.53,14.0
PL202403R02P004,2024-03-01,R02,P004,102861.35,36175.59,14.0
PL202403R02P005,2024-03-01,R02,P005,96587.83,32306.76,12.0
PL202403R02P006,2024-03-01,R02,P006,69019.31,18477.78,38.0
PL202403R02P007,2024-03-01,R02,P007,73720.27,23038.88,31.0
PL202403R02P008,2024-03-01,R02,P008,109628.18,40047.48,10.0
PL202403R03P001,2024-03-01,R03,P001,87941.36,37766.04,32.0
PL202403R03P002,2024-03-01,R03,P002,89993.66,41434.73,23.0
PL202403R03P003,2024-03-01,R03,P003,96332.59,37565.22,16.0
PL202403R03P004,2024-03-01,R03,P004,109468.89,39068.96,15.0
PL202403R03P005,2024-03-01,R03,P005,113598.45,39396.58,14.0
PL202403R03P006,2024-03-01,R03,P006,74090.28,19725.27,41.0
PL202403R03P007,2024-03-01,R03,P007,76118.89,24501.41,32.0
PL202403R03P008,2024-03-01,R03,P008,117606.41,42401.38,11.0
PL202403R04P001,2024-03-01,R04,P001,69809.47,28458.86,25.0
PL202403R04P002,2024-03-01,R04,P002,80209.23,35775.31,20.0
PL202403R04P003,2024-03-01,R04,P003,86676.44,35230.50,15.0
PL202403R04P004,2024-03-01,R04,P004,90090.51,30721.54,12.0
PL202403R04P005,2024-03-01,R04,P005,96372.84,32428.66,12.0
PL202403R04P006,2024-03-01,R04,P006,68844.24,19181.28,38.0
PL202403R04P007,2024-03-01,R04,P007,64475.52,20666.60,27.0
PL202403R04P008,2024-03-01,R04,P008,111243.48,40721.46,10.0
PL202403R05P001,2024-03-01,R05,P001,74582.40,30322.00,27.0
PL202403R05P002,2024-03-01,R05,P002,80097.78,36197.99,20.0
PL202403R05P003,2024-03-01,R05,P003,91386.35,37232.30,16.0
PL202403R05P004,2024-03-01,R05,P004,108663.23,38685.40,15.0
PL202403R05P005,2024-03-01,R05,P005,105973.28,33942.67,13.0
PL202403R05P006,2024-03-01,R05,P006,68169.40,19061.26,38.0
PL202403R05P007,2024-03-01,R05,P007,72314.60,22148.91,30.0
PL202403R05P008,2024-03-01,R05,P008,117341.36,43370.92,11.0
PL202403R06P001,2024-03-01,R06,P001,75354.89,31475.27,27.0
PL202403R06P002,2024-03-01,R06,P002,83538.97,37998.63,21.0
PL202403R06P003,2024-03-01,R06,P003,86401.15,33581.94,15.0
PL202403R06P004,2024-03-01,R06,P004,104662.86,34580.49,14.0
PL202403R06P005,2024-03-01,R06,P005,98155.89,33881.38,12.0
PL202403R06P006,2024-03-01,R06,P006,71255.43,20252.85,39.0
PL202403R06P007,2024-03-01,R06,P007,67975.31,21164.41,29.0
PL202403R06P008,2024-03-01,R06,P008,113450.94,40582.93,11.0
PL202404R01P001,2024-04-01,R01,P001,86679.32,35414.57,31.0
PL202404R01P002,2024-04-01,R01,P002,87886.23,38862.25,22.0
PL202404R01P003,2024-04-01,R01,P003,94876.91,36541.56,16.0
PL202404R01P004,2024-04-01,R01,P004,101963.81,34192.44,14.0
PL202404R01P005,2024-04-01,R01,P005,120070.01,38314.61,15.0
PL202404R01P006,2024-04-01,R01,P006,71720.19,19176.27,40.0
PL202404R01P007,2024-04-01,R01,P007,81895.95,25949.86,34.0
PL202404R01P008,2024-04-01,R01,P008,131887.80,45710.68,12.0
PL202404R02P001,2024-04-01,R02,P001,77872.19,31953.37,28.0
PL202404R02P002,2024-04-01,R02,P002,82150.63,37103.38,21.0
PL202404R02P003,2024-04-01,R02,P003,99953.77,38502.73,17.0
PL202404R02P004,2024-04-01,R02,P004,110291.75,36953.29,15.0
PL202404R02P005,2024-04-01,R02,P005,111936.98,37667.06,14.0
PL202404R02P006,2024-04-01,R02,P006,70316.14,20683.28,39.0
PL202404R02P007,2024-04-01,R02,P007,72915.54,23171.00,31.0
PL202404R02P008,2024-04-01,R02,P008,122593.46,42985.58,12.0
PL202404R03P001,2024-04-01,R03,P001,93475.82,40485.39,34.0
PL202404R03P002,2024-04-01,R03,P002,100855.26,47118.14,25.0
PL202404R03P003,2024-04-01,R03,P003,100567.66,37809.67,17.0
PL202404R03P004,2024-04-01,R03,P004,117021.14,40336.06,16.0
PL202404R03P005,2024-04-01,R03,P005,113783.98,37061.51,14.0
PL202404R03P006,2024-04-01,R03,P006,78136.90,22707.40,43.0
PL202404R03P007,2024-04-01,R03,P007,81021.21,24966.38,34.0
PL202404R03P008,2024-04-01,R03,P008,131990.73,47133.66,12.0
PL202404R04P001,2024-04-01,R04,P001,74881.34,32743.46,27.0
PL202404R04P002,2024-04-01,R04,P002,78035.84,35542.35,20.0
PL202404R04P003,2024-04-01,R04,P003,93119.45,34963.95,16.0
PL202404R04P004,2024-04-01,R04,P004,98133.33,33644.01,14.0
PL202404R04P005,2024-04-01,R04,P005,108341.15,37613.49,14.0
PL202404R04P006,2024-04-01,R04,P006,71377.45,19611.26,40.0
PL202404R04P007,2024-04-01,R04,P007,74757.66,22762.60,31.0
PL202404R04P008,2024-04-01,R04,P008,119174.37,43894.27,11.0
PL202404R05P001,2024-04-01,R05,P001,88959.38,37354.16,32.0
PL202404R05P002,2024-04-01,R05,P002,91560.13,40988.58,23.0
PL202404R05P003,2024-04-01,R05,P003,101476.37,38865.34,17.0
PL202404R05P004,2024-04-01,R05,P004,113438.08,37471.32,16.0
PL202404R05P005,2024-04-01,R05,P005,111325.30,37587.51,14.0
PL202404R05P006,2024-04-01,R05,P006,75418.34,22279.21,42.0
PL202404R05P007,2024-04-01,R05,P007,77121.22,24919.30,32.0
PL202404R05P008,2024-04-01,R05,P008,128342.10,45461.82,12.0
PL202404R06P001,2024-04-01,R06,P001,78559.69,33147.68,29.0
PL202404R06P002,2024-04-01,R06,P002,86287.66,39038.97,22.0
PL202404R06P003,2024-04-01,R06,P003,98151.46,39291.79,17.0
PL202404R06P004,2024-04-01,R06,P004,111334.83,38995.60,15.0
PL202404R06P005,2024-04-01,R06,P005,107737.98,33954.40,14.0
PL202404R06P006,2024-04-01,R06,P006,71355.82,19105.23,40.0
PL202404R06P007,2024-04-01,R06,P007,76093.92,23991.18,32.0
PL202404R06P008,2024-04-01,R06,P008,112397.81,41754.79,11.0
PL202405R01P001,2024-05-01,R01,P001,85382.82,36838.64,31.0
PL202405R01P002,2024-05-01,R01,P002,97230.72,45323.95,24.0
PL202405R01P003,2024-05-01,R01,P003,103152.48,39598.88,18.0
PL202405R01P004,2024-05-01,R01,P004,119011.53,38769.81,16.0
PL202405R01P005,2024-05-01,R01,P005,117815.08,38992.13,15.0
PL202405R01P006,2024-05-01,R01,P006,85652.63,23187.80,47.0
PL202405R01P007,2024-05-01,R01,P007,86802.32,26714.29,37.0
PL202405R01P008,2024-05-01,R01,P008,137646.35,48706.21,13.0
PL202405R02P001,2024-05-01,R02,P001,80113.89,34218.64,29.0
PL202405R02P002,2024-05-01,R02,P002,92024.72,40549.49,23.0
PL202405R02P003,2024-05-01,R02,P003,103456.67,41105.09,18.0
PL202405R02P004,2024-05-01,R02,P004,117821.51,41707.58,16.0
PL202405R02P005,2024-05-01,R02,P005,111976.57,38071.22,14.0
PL202405R02P006,2024-05-01,R02,P006,73519.63,21363.61,41.0
PL202405R02P007,2024-05-01,R02,P007,77194.47,23672.67,33.0
PL202405R02P008,2024-05-01,R02,P008,130040.08,46380.52,12.0
PL202405R03P001,2024-05-01,R03,P001,89677.25,38704.78,33.0
PL202405R03P002,2024-05-01,R03,P002,97357.08,42760.65,24.0
PL202405R03P003,2024-05-01,R03,P003,114933.62,44901.47,20.0
PL202405R03P004,2024-05-01,R03,P004,125385.42,41039.12,17.0
PL202405R03P005,2024-05-01,R03,P005,132087.39,44176.34,17.0
PL202405R03P006,2024-05-01,R03,P006,81330.57,22584.43,45.0
PL202405R03P007,2024-05-01,R03,P007,91880.46,28484.32,39.0
PL202405R03P008,2024-05-01,R03,P008,135818.54,48320.40,13.0
PL202405R04P001,2024-05-01,R04,P001,83082.54,35551.73,30.0
PL202405R04P002,2024-05-01,R04,P002,84791.03,37742.51,21.0
PL202405R04P003,2024-05-01,R04,P003,91385.42,35683.57,16.0
PL202405R04P004,2024-05-01,R04,P004,113008.29,39401.78,16.0
PL202405R04P005,2024-05-01,R04,P005,112679.84,35907.57,14.0
PL202405R04P006,2024-05-01,R04,P006,77695.63,22812.08,43.0
PL202405R04P007,2024-05-01,R04,P007,76222.61,23765.01,32.0
PL202405R04P008,2024-05-01,R04,P008,114204.56,42364.33,11.0
PL202405R05P001,2024-05-01,R05,P001,96179.76,41235.12,35.0
PL202405R05P002,2024-05-01,R05,P002,98511.53,45076.11,25.0
PL202405R05P003,2024-05-01,R05,P003,110123.32,43423.17,19.0
PL202405R05P004,2024-05-01,R05,P004,124960.89,40830.44,17.0
PL202405R05P005,2024-05-01,R05,P005,122500.82,42286.70,15.0
PL202405R05P006,2024-05-01,R05,P006,81704.46,22283.23,45.0
PL202405R05P007,2024-05-01,R05,P007,90863.48,28150.10,38.0
PL202405R05P008,2024-05-01,R05,P008,132869.42,47602.69,12.0
PL202405R06P001,2024-05-01,R06,P001,88185.77,37770.97,32.0
PL202405R06P002,2024-05-01,R06,P002,97481.23,44342.05,24.0
PL202405R06P003,2024-05-01,R06,P003,106289.48,41054.95,18.0
PL202405R06P004,2024-05-01,R06,P004,115906.14,40972.25,16.0
PL202405R06P005,2024-05-01,R06,P005,127084.30,42177.73,16.0
PL202405R06P006,2024-05-01,R06,P006,79045.94,21206.55,44.0
PL202405R06P007,2024-05-01,R06,P007,77273.70,23881.33,33.0
PL202405R06P008,2024-05-01,R06,P008,131155.66,48727.99,12.0
PL202406R01P001,2024-06-01,R01,P001,96347.87,41740.84,35.0
PL202406R01P002,2024-06-01,R01,P002,96994.92,43113.75,24.0
PL202406R01P003,2024-06-01,R01,P003,104272.24,40287.21,18.0
PL202406R01P004,2024-06-01,R01,P004,115717.83,40917.74,16.0
PL202406R01P005,2024-06-01,R01,P005,117329.74,37491.79,15.0
PL202406R01P006,2024-06-01,R01,P006,82737.92,24519.95,46.0
PL202406R01P007,2024-06-01,R01,P007,90639.99,27493.94,38.0
PL202406R01P008,2024-06-01,R01,P008,153105.48,54327.02,14.0
PL202406R02P001,2024-06-01,R02,P001,86575.87,36174.31,31.0
PL202406R02P002,2024-06-01,R02,P002,95315.02,44157.29,24.0
PL202406R02P003,2024-06-01,R02,P003,105737.26,41421.92,18.0
PL202406R02P004,2024-06-01,R02,P004,111346.35,36474.89,15.0
PL202406R02P005,2024-06-01,R02,P005,116184.50,37333.39,15.0
PL202406R02P006,2024-06-01,R02,P006,86352.54,24984.68,48.0
PL202406R02P007,2024-06-01,R02,P007,85282.58,25732.23,36.0
PL202406R02P008,2024-06-01,R02,P008,136095.02,50213.34,13.0
PL202406R03P001,2024-06-01,R03,P001,91550.45,39743.53,33.0
PL202406R03P002,2024-06-01,R03,P002,102877.70,45922.69,26.0
PL202406R03P003,2024-06-01,R03,P003,122835.13,48158.29,21.0
PL202406R03P004,2024-06-01,R03,P004,124927.29,41716.64,17.0
PL202406R03P005,2024-06-01,R03,P005,131097.89,44257.02,16.0
PL202406R03P006,2024-06-01,R03,P006,94140.44,25848.59,52.0
PL202406R03P007,2024-06-01,R03,P007,98486.45,31742.37,41.0
PL202406R03P008,2024-06-01,R03,P008,153063.86,53658.79,14.0
PL202406R04P001,2024-06-01,R04,P001,87386.26,36534.69,32.0
PL202406R04P002,2024-06-01,R04,P002,91434.07,40838.60,23.0
PL202406R04P003,2024-06-01,R04,P003,98892.02,38009.78,17.0
PL202406R04P004,2024-06-01,R04,P004,106307.18,37736.74,15.0
PL202406R04P005,2024-06-01,R04,P005,114408.87,38585.94,14.0
PL202406R04P006,2024-06-01,R04,P006,81672.42,23734.57,45.0
PL202406R04P007,2024-06-01,R04,P007,79287.97,23511.54,33.0
PL202406R04P008,2024-06-01,R04,P008,133859.64,46283.21,13.0
PL202406R05P001,2024-06-01,R05,P001,89155.69,37704.16,32.0
PL202406R05P002,2024-06-01,R05,P002,98568.79,46121.48,25.0
PL202406R05P003,2024-06-01,R05,P003,116300.99,45097.80,20.0
PL202406R05P004,2024-06-01,R05,P004,128839.02,42226.09,18.0
PL202406R05P005,2024-06-01,R05,P005,120891.64,38395.51,15.0
PL202406R05P006,2024-06-01,R05,P006,83147.69,23285.84,46.0
PL202406R05P007,2024-06-01,R05,P007,83822.53,25642.66,35.0
PL202406R05P008,2024-06-01,R05,P008,136681.39,48378.76,13.0
PL202406R06P001,2024-06-01,R06,P001,86955.38,36092.57,32.0
PL202406R06P002,2024-06-01,R06,P002,91836.47,41073.34,23.0
PL202406R06P003,2024-06-01,R06,P003,104689.68,42483.81,18.0
PL202406R06P004,2024-06-01,R06,P004,121717.31,39748.74,17.0
PL202406R06P005,2024-06-01,R06,P005,115678.50,39424.05,14.0
PL202406R06P006,2024-06-01,R06,P006,85041.12,25088.45,47.0
PL202406R06P007,2024-06-01,R06,P007,91779.41,27612.00,39.0
PL202406R06P008,2024-06-01,R06,P008,127325.23,44438.11,12.0
PL202407R01P001,2024-07-01,R01,P001,80084.83,34528.98,29.0
PL202407R01P002,2024-07-01,R01,P002,81951.19,36588.94,21.0
PL202407R01P003,2024-07-01,R01,P003,91895.04,35221.70,16.0
PL202407R01P004,2024-07-01,R01,P004,104441.12,34576.68,14.0
PL202407R01P005,2024-07-01,R01,P005,113759.82,36435.10,14.0
PL202407R01P006,2024-07-01,R01,P006,74251.90,21378.87,41.0
PL202407R01P007,2024-07-01,R01,P007,77951.35,25069.95,33.0
PL202407R01P008,2024-07-01,R01,P008,132040.16,48478.38,12.0
PL202407R02P001,2024-07-01,R02,P001,72500.13,30585.27,26.0
PL202407R02P002,2024-07-01,R02,P002,81471.01,35963.48,20.0
PL202407R02P003,2024-07-01,R02,P003,95977.92,37959.97,16.0
PL202407R02P004,2024-07-01,R02,P004,101974.66,34033.93,14.0
PL202407R02P005,2024-07-01,R02,P005,105706.43,34059.51,13.0
PL202407R02P006,2024-07-01,R02,P006,73394.79,20130.19,41.0
PL202407R02P007,2024-07-01,R02,P007,76440.09,22624.11,32.0
PL202407R02P008,2024-07-01,R02,P008,121100.61,44108.03,11.0
PL202407R03P001,2024-07-01,R03,P001,81651.08,35640.33,30.0
PL202407R03P002,2024-07-01,R03,P002,97440.03,44985.02,24.0
PL202407R03P003,2024-07-01,R03,P003,105905.66,41908.22,18.0
PL202407R03P004,2024-07-01,R03,P004,115093.41,40152.06,16.0
PL202407R03P005,2024-07-01,R03,P005,119979.09,39408.74,15.0
PL202407R03P006,2024-07-01,R03,P006,79824.18,21487.54,44.0
PL202407R03P007,2024-07-01,R03,P007,88203.02,28386.27,37.0
PL202407R03P008,2024-07-01,R03,P008,127786.45,44329.22,12.0
PL202407R04P001,2024-07-01,R04,P001,80612.98,35141.49,29.0
PL202407R04P002,2024-07-01,R04,P002,84807.07,36954.03,21.0
PL202407R04P003,2024-07-01,R04,P003,90913.44,37044.94,15.0
PL202407R04P004,2024-07-01,R04,P004,100808.53,33054.51,14.0
PL202407R04P005,2024-07-01,R04,P005,103964.15,33246.77,13.0
PL202407R04P006,2024-07-01,R04,P006,73032.53,21694.28,40.0
PL202407R04P007,2024-07-01,R04,P007,75922.18,22681.19,32.0
PL202407R04P008,2024-07-01,R04,P008,111218.98,39584.49,10.0
PL202407R05P001,2024-07-01,R05,P001,79778.97,33210.25,29.0
PL202407R05P002,2024-07-01,R05,P002,91639.66,41337.46,23.0
PL202407R05P003,2024-07-01,R05,P003,101326.97,40892.10,17.0
PL202407R05P004,2024-07-01,R05,P004,115565.76,37730.25,16.0
PL202407R05P005,2024-07-01,R05,P005,107034.68,37186.00,13.0
PL202407R05P006,2024-07-01,R05,P006,80523.84,22210.17,45.0
PL202407R05P007,2024-07-01,R05,P007,85054.00,26094.34,36.0
PL202407R05P008,2024-07-01,R05,P008,121169.57,45427.85,11.0
PL202407R06P001,2024-07-01,R06,P001,77491.13,31471.39,28.0
PL202407R06P002,2024-07-01,R06,P002,86559.67,38194.53,22.0
PL202407R06P003,2024-07-01,R06,P003,95505.78,38041.53,16.0
PL202407R06P004,2024-07-01,R06,P004,109966.06,35798.80,15.0
PL202407R06P005,2024-07-01,R06,P005,112265.95,36579.22,14.0
PL202407R06P006,2024-07-01,R06,P006,68871.36,19817.13,38.0
PL202407R06P007,2024-07-01,R06,P007,74507.64,23863.23,31.0
PL202407R06P008,2024-07-01,R06,P008,117368.82,44315.36,11.0
PL202408R01P001,2024-08-01,R01,P001,70991.24,29861.19,26.0
PL202408R01P002,2024-08-01,R01,P002,79351.99,36526.94,20.0
PL202408R01P003,2024-08-01,R01,P003,83068.13,32374.89,14.0
PL202408R01P004,2024-08-01,R01,P004,102870.86,34322.97,14.0
PL202408R01P005,2024-08-01,R01,P005,108861.33,34345.43,14.0
PL202408R01P006,2024-08-01,R01,P006,72972.02,21692.15,40.0
PL202408R01P007,2024-08-01,R01,P007,70986.92,22777.40,30.0
PL202408R01P008,2024-08-01,R01,P008,122135.63,42384.72,11.0
PL202408R02P001,2024-08-01,R02,P001,76365.75,32331.03,28.0
PL202408R02P002,2024-08-01,R02,P002,76289.42,34291.72,19.0
PL202408R02P003,2024-08-01,R02,P003,89072.43,35086.45,15.0
PL202408R02P004,2024-08-01,R02,P004,90466.72,29558.94,13.0
PL202408R02P005,2024-08-01,R02,P005,96666.46,31890.23,12.0
PL202408R02P006,2024-08-01,R02,P006,64703.34,17779.91,36.0
PL202408R02P007,2024-08-01,R02,P007,71711.70,22712.12,30.0
PL202408R02P008,2024-08-01,R02,P008,110440.50,38525.22,10.0
PL202408R03P001,2024-08-01,R03,P001,81741.40,34985.57,30.0
PL202408R03P002,2024-08-01,R03,P002,82008.57,37449.60,21.0
PL202408R03P003,2024-08-01,R03,P003,89560.96,34123.59,15.0
PL202408R03P004,2024-08-01,R03,P004,99399.25,32845.94,14.0
PL202408R03P005,2024-08-01,R03,P005,104786.56,36164.42,13.0
PL202408R03P006,2024-08-01,R03,P006,72545.19,21055.91,40.0
PL202408R03P007,2024-08-01,R03,P007,75745.87,23286.78,32.0
PL202408R03P008,2024-08-01,R03,P008,126039.11,44239.68,12.0
PL202408R04P001,2024-08-01,R04,P001,73166.20,31647.20,27.0
PL202408R04P002,2024-08-01,R04,P002,71199.57,32365.60,18.0
PL202408R04P003,2024-08-01,R04,P003,83458.59,33646.44,14.0
PL202408R04P004,2024-08-01,R04,P004,86737.94,29626.50,12.0
PL202408R04P005,2024-08-01,R04,P005,98507.45,31643.86,12.0
PL202408R04P006,2024-08-01,R04,P006,60137.05,16360.66,33.0
PL202408R04P007,2024-08-01,R04,P007,69679.94,20811.56,29.0
PL202408R04P008,2024-08-01,R04,P008,109187.50,38461.30,10.0
PL202408R05P001,2024-08-01,R05,P001,77298.15,33455.59,28.0
PL202408R05P002,2024-08-01,R05,P002,76581.86,34165.30,19.0
PL202408R05P003,2024-08-01,R05,P003,91666.23,35114.13,16.0
PL202408R05P004,2024-08-01,R05,P004,106787.12,36319.13,15.0
PL202408R05P005,2024-08-01,R05,P005,108528.28,37256.41,14.0
PL202408R05P006,2024-08-01,R05,P006,70765.17,19482.55,39.0
PL202408R05P007,2024-08-01,R05,P007,75073.32,22924.46,32.0
PL202408R05P008,2024-08-01,R05,P008,111643.22,41472.07,10.0
PL202408R06P001,2024-08-01,R06,P001,68119.31,29720.62,25.0
PL202408R06P002,2024-08-01,R06,P002,77793.83,34112.03,19.0
PL202408R06P003,2024-08-01,R06,P003,82388.23,31133.28,14.0
PL202408R06P004,2024-08-01,R06,P004,95406.74,31772.53,13.0
PL202408R06P005,2024-08-01,R06,P005,95715.48,31629.39,12.0
PL202408R06P006,2024-08-01,R06,P006,69358.34,20499.16,38.0
PL202408R06P007,2024-08-01,R06,P007,70286.71,22128.26,30.0
PL202408R06P008,2024-08-01,R06,P008,104886.80,36300.14,10.0
PL202409R01P001,2024-09-01,R01,P001,93353.33,39843.04,34.0
PL202409R01P002,2024-09-01,R01,P002,103389.42,46581.34,26.0
