OpportunityKey,CampaignKey,CreatedDate,ExpectedCloseDate,CustomerKey,SalesRepKey,RegionKey,PrimaryProductKey,SalesStage,StageProbability,OpportunityAmount,WeightedPipeline,LostReason,NextStepMissing
OP00040,CA00040,2023-12-03,2023-12-15,C009,S002,R02,P008,Prospecting,0.1500,334572.46,50185.87,,True
OP00041,CA00041,2023-12-31,2024-01-19,C027,S003,R03,P003,Qualified,0.3000,176234.39,52870.32,,False
OP00042,CA00042,2023-10-07,2024-01-02,C017,S011,R05,P005,Closed Won,1.0000,209799.14,209799.14,,False
OP00043,CA00043,2023-11-26,2023-12-18,C025,S010,R04,P005,Closed Won,1.0000,177341.14,177341.14,,False
OP00044,CA00044,2023-11-17,2023-12-20,C019,S001,R01,P005,Closed Won,1.0000,295495.53,295495.53,,False
OP00045,CA00045,2023-10-20,2024-01-08,C015,S009,R03,P002,Closed Won,1.0000,117330.92,117330.92,,False
OP00046,CA00046,2023-11-21,2023-12-13,C002,S002,R02,P003,Qualified,0.3000,52109.23,15632.77,,False
OP00047,CA00047,2024-01-12,2024-02-09,C004,S008,R02,P007,Qualified,0.3000,54573.50,16372.05,,False
OP00048,CA00048,2023-12-02,2024-01-12,C016,S008,R02,P002,Qualified,0.3000,60620.24,18186.07,,False
OP00049,CA00049,2024-01-07,2024-02-20,C014,S003,R03,P001,Closed Won,1.0000,91000.39,91000.39,,True
OP00050,CA00050,2023-11-11,2024-02-05,C001,S003,R03,P005,Negotiation,0.7200,61829.23,44517.05,,False
OP00051,CA00051,2023-12-01,2024-01-25,C029,S007,R01,P006,Closed Won,1.0000,33584.91,33584.91,,False
OP00052,CA00052,2023-12-11,2024-01-31,C002,S003,R03,P005,Closed Won,1.0000,171760.69,171760.69,,False
OP00053,CA00053,2023-12-03,2024-02-02,C028,S009,R03,P003,Proposal,0.5500,321490.15,176819.58,,False
OP00054,CA00054,2023-12-28,2024-02-06,C029,S002,R02,P007,Negotiation,0.7200,47151.87,33949.35,,False
OP00055,CA00055,2024-01-15,2024-02-06,C003,S006,R06,P003,Proposal,0.5500,20559.42,11307.68,,True
OP00056,CA00056,2023-12-31,2024-01-31,C019,S007,R01,P003,Closed Won,1.0000,64636.04,64636.04,,False
OP00057,CA00057,2024-01-09,2024-01-21,C019,S001,R01,P005,Proposal,0.5500,267668.33,147217.58,,False
OP00058,CA00058,2023-11-11,2024-01-15,C015,S003,R03,P003,Proposal,0.5500,228830.39,125856.72,,False
OP00059,CA00059,2023-12-24,2024-01-24,C016,S005,R05,P006,Proposal,0.5500,125502.83,69026.56,,False
OP00060,CA00060,2023-11-12,2024-02-08,C003,S008,R02,P004,Proposal,0.5500,70618.40,38840.12,,False
OP00061,CA00061,2023-11-29,2024-01-19,C006,S012,R06,P001,Prospecting,0.1500,234367.29,35155.09,,False
OP00062,CA00062,2024-01-15,2024-02-01,C005,S008,R02,P007,Closed Won,1.0000,34996.87,34996.87,,True
OP00063,CA00063,2023-12-30,2024-01-24,C017,S003,R03,P007,Proposal,0.5500,36345.77,19990.17,,False
OP00064,CA00064,2023-11-01,2024-01-25,C010,S009,R03,P007,Prospecting,0.1500,23574.13,3536.12,,False
OP00065,CA00065,2023-11-11,2024-02-06,C010,S012,R06,P002,Proposal,0.5500,56974.70,31336.09,,False
OP00066,CA00066,2024-01-04,2024-01-31,C025,S008,R02,P003,Prospecting,0.1500,44430.06,6664.51,,False
OP00067,CA00067,2023-11-16,2024-01-22,C029,S007,R01,P005,Closed Won,1.0000,173607.55,173607.55,,True
OP00068,CA00068,2023-11-09,2024-01-23,C004,S006,R06,P001,Prospecting,0.1500,212548.04,31882.21,,True
OP00069,CA00069,2024-01-14,2024-02-09,C022,S012,R06,P004,Closed Won,1.0000,217521.41,217521.41,,False
OP00070,CA00070,2023-11-25,2024-01-25,C007,S002,R02,P005,Negotiation,0.7200,393315.77,283187.36,,False
OP00071,CA00071,2023-11-24,2024-02-04,C002,S011,R05,P006,Closed Won,1.0000,15363.84,15363.84,,False
OP00072,CA00072,2023-12-16,2024-02-08,C003,S006,R06,P007,Qualified,0.3000,98646.51,29593.95,,False
OP00073,CA00073,2023-12-30,2024-01-22,C021,S011,R05,P001,Closed Won,1.0000,24860.92,24860.92,,False
OP00074,CA00074,2023-11-11,2024-02-04,C015,S009,R03,P001,Closed Won,1.0000,51803.33,51803.33,,True
OP00075,CA00075,2023-12-15,2024-01-11,C019,S012,R06,P003,Closed Won,1.0000,60332.15,60332.15,,True
OP00076,CA00076,2023-12-29,2024-02-04,C009,S001,R01,P008,Qualified,0.3000,45271.33,13581.40,,False
OP00077,CA00077,2023-12-14,2024-02-07,C004,S005,R05,P001,Prospecting,0.1500,402695.01,60404.25,,True
OP00078,CA00078,2023-11-09,2024-01-30,C006,S005,R05,P006,Prospecting,0.1500,460478.46,69071.77,,True
OP00079,CA00079,2023-12-22,2024-02-10,C027,S001,R01,P007,Closed Lost,0.0000,40590.81,0.00,Timing,False
OP00080,CA00080,2023-11-19,2024-01-25,C015,S003,R03,P008,Qualified,0.3000,259421.81,77826.54,,False
OP00081,CA00081,2024-01-04,2024-02-01,C012,S012,R06,P002,Closed Won,1.0000,315111.31,315111.31,,False
OP00082,CA00082,2024-01-11,2024-02-14,C029,S012,R06,P003,Closed Lost,0.0000,13150.71,0.00,Budget Frozen,False
OP00083,CA00083,2023-12-27,2024-01-22,C020,S002,R02,P005,Closed Lost,0.0000,232313.57,0.00,Budget Frozen,False
OP00084,CA00084,2024-01-21,2024-02-03,C013,S009,R03,P001,Negotiation,0.7200,11220.06,8078.45,,False
OP00085,CA00085,2023-12-23,2024-01-31,C007,S011,R05,P001,Prospecting,0.1500,61692.15,9253.82,,True
OP00086,CA00086,2023-12-17,2024-01-13,C023,S002,R02,P007,Closed Lost,0.0000,29315.70,0.00,Budget Frozen,False
OP00087,CA00087,2023-10-18,2024-01-10,C020,S006,R06,P004,Closed Won,1.0000,5815.25,5815.25,,False
OP00088,CA00088,2024-01-15,2024-02-11,C027,S007,R01,P006,Prospecting,0.1500,78615.25,11792.29,,False
OP00089,CA00089,2023-10-29,2024-01-23,C006,S008,R02,P004,Closed Lost,0.0000,131965.80,0.00,Competitor,False
OP00090,CA00090,2023-12-17,2024-01-23,C008,S008,R02,P006,Closed Lost,0.0000,182845.51,0.00,Timing,False
OP00091,CA00091,2023-12-20,2024-02-09,C005,S011,R05,P008,Closed Won,1.0000,412484.07,412484.07,,False
OP00092,CA00092,2023-11-12,2024-02-09,C023,S010,R04,P007,Proposal,0.5500,5090.97,2800.03,,False
OP00093,CA00093,2023-11-12,2024-01-30,C027,S004,R04,P002,Negotiation,0.7200,12393.56,8923.36,,False
OP00094,CA00094,2023-12-10,2024-02-12,C021,S004,R04,P003,Qualified,0.3000,154745.17,46423.55,,False
OP00095,CA00095,2023-11-28,2024-01-26,C029,S001,R01,P003,Proposal,0.5500,54686.16,30077.39,,False
OP00096,CA00096,2024-01-07,2024-02-16,C011,S001,R01,P001,Closed Won,1.0000,41407.11,41407.11,,False
OP00097,CA00097,2023-11-21,2024-01-24,C018,S001,R01,P007,Qualified,0.3000,13752.48,4125.74,,False
OP00098,CA00098,2023-12-12,2024-02-27,C014,S008,R02,P007,Negotiation,0.7200,38202.64,27505.90,,False
OP00099,CA00099,2024-01-22,2024-03-01,C014,S010,R04,P007,Closed Won,1.0000,41430.08,41430.08,,False
OP00100,CA00100,2024-03-05,2024-03-20,C007,S006,R06,P001,Proposal,0.5500,16865.26,9275.89,,False
OP00101,CA00101,2024-01-28,2024-03-06,C011,S004,R04,P002,Qualified,0.3000,96155.18,28846.55,,False
OP00102,CA00102,2023-12-23,2024-03-06,C007,S009,R03,P002,Prospecting,0.1500,125085.24,18762.79,,False
OP00103,CA00103,2023-12-28,2024-02-26,C028,S009,R03,P003,Qualified,0.3000,112456.83,33737.05,,False
OP00104,CA00104,2023-12-27,2024-02-25,C019,S012,R06,P007,Negotiation,0.7200,4897.96,3526.53,,False
OP00105,CA00105,2024-01-15,2024-03-13,C017,S003,R03,P008,Closed Won,1.0000,138676.69,138676.69,,False
OP00106,CA00106,2024-02-18,2024-03-17,C027,S007,R01,P001,Negotiation,0.7200,91782.24,66083.21,,False
OP00107,CA00107,2024-01-09,2024-02-18,C014,S004,R04,P004,Proposal,0.5500,86168.56,47392.71,,False
OP00108,CA00108,2023-12-03,2024-02-08,C012,S005,R05,P005,Negotiation,0.7200,102337.03,73682.66,,False
OP00109,CA00109,2024-02-11,2024-03-09,C019,S004,R04,P006,Proposal,0.5500,62418.00,34329.90,,False
OP00110,CA00110,2024-01-12,2024-03-04,C020,S006,R06,P004,Closed Won,1.0000,49871.08,49871.08,,True
OP00111,CA00111,2024-01-28,2024-02-29,C017,S002,R02,P004,Prospecting,0.1500,110685.78,16602.87,,False
OP00112,CA00112,2024-02-11,2024-03-03,C003,S012,R06,P008,Negotiation,0.7200,161094.29,115987.89,,False
OP00113,CA00113,2023-12-20,2024-02-20,C005,S006,R06,P005,Proposal,0.5500,66448.92,36546.91,,False
OP00114,CA00114,2024-02-16,2024-03-02,C029,S011,R05,P008,Closed Won,1.0000,124463.88,124463.88,,False
OP00115,CA00115,2023-12-02,2024-02-24,C021,S009,R03,P008,Qualified,0.3000,532103.82,159631.14,,False
OP00116,CA00116,2024-02-23,2024-03-06,C011,S011,R05,P001,Closed Lost,0.0000,16078.40,0.00,Competitor,False
OP00117,CA00117,2024-01-29,2024-02-27,C029,S003,R03,P002,Proposal,0.5500,75280.48,41404.26,,False
OP00118,CA00118,2023-12-07,2024-03-03,C020,S005,R05,P007,Negotiation,0.7200,38949.33,28043.51,,False
OP00119,CA00119,2024-01-08,2024-03-12,C026,S012,R06,P002,Qualified,0.3000,49467.85,14840.36,,False
OP00120,CA00120,2024-01-23,2024-02-28,C022,S011,R05,P006,Prospecting,0.1500,8628.60,1294.29,,False
OP00121,CA00121,2024-01-06,2024-02-26,C017,S005,R05,P006,Closed Won,1.0000,215563.73,215563.73,,False
OP00122,CA00122,2024-01-10,2024-02-25,C026,S008,R02,P001,Closed Lost,0.0000,7981.49,0.00,Price,False
OP00123,CA00123,2023-12-10,2024-02-14,C024,S001,R01,P003,Closed Won,1.0000,129218.30,129218.30,,False
OP00124,CA00124,2024-02-05,2024-03-16,C004,S004,R04,P003,Proposal,0.5500,85881.93,47235.06,,False
OP00125,CA00125,2024-01-10,2024-03-16,C019,S010,R04,P003,Prospecting,0.1500,233901.72,35085.26,,False
OP00126,CA00126,2024-01-29,2024-02-27,C002,S005,R05,P004,Prospecting,0.1500,9280.08,1392.01,,False
OP00127,CA00127,2024-01-20,2024-02-15,C011,S010,R04,P005,Closed Won,1.0000,88543.56,88543.56,,False
OP00128,CA00128,2023-12-06,2024-03-04,C024,S006,R06,P002,Proposal,0.5500,208238.67,114531.27,,False
OP00129,CA00129,2024-01-13,2024-02-29,C005,S005,R05,P004,Closed Won,1.0000,77017.33,77017.33,,False
OP00130,CA00130,2024-01-19,2024-03-17,C016,S006,R06,P006,Prospecting,0.1500,112666.03,16899.91,,False
OP00131,CA00131,2024-02-29,2024-03-16,C027,S007,R01,P001,Prospecting,0.1500,155884.35,23382.65,,False
OP00132,CA00132,2024-01-28,2024-03-06,C016,S001,R01,P006,Prospecting,0.1500,98389.79,14758.47,,False
OP00133,CA00133,2024-02-26,2024-03-15,C024,S010,R04,P002,Closed Won,1.0000,129386.63,129386.63,,False
OP00134,CA00134,2024-01-09,2024-02-22,C021,S003,R03,P007,Proposal,0.5500,102847.42,56566.08,,False
OP00135,CA00135,2023-12-22,2024-02-18,C013,S008,R02,P004,Proposal,0.5500,207887.65,114338.21,,False
OP00136,CA00136,2024-02-09,2024-03-09,C007,S001,R01,P002,Closed Won,1.0000,166689.92,166689.92,,False
OP00137,CA00137,2024-02-11,2024-02-25,C018,S007,R01,P001,Closed Won,1.0000,510800.83,510800.83,,False
OP00138,CA00138,2024-01-07,2024-02-21,C018,S005,R05,P003,Negotiation,0.7200,243798.44,175534.88,,False
OP00139,CA00139,2024-01-31,2024-02-25,C027,S002,R02,P007,Proposal,0.5500,172138.89,94676.39,,False
OP00140,CA00140,2023-12-15,2024-03-04,C001,S004,R04,P007,Proposal,0.5500,37994.36,20896.90,,False
OP00141,CA00141,2023-12-04,2024-02-18,C022,S010,R04,P004,Closed Won,1.0000,446216.02,446216.02,,False
OP00142,CA00142,2024-01-26,2024-02-11,C003,S011,R05,P003,Closed Won,1.0000,207299.43,207299.43,,False
OP00143,CA00143,2024-01-07,2024-03-16,C014,S003,R03,P006,Qualified,0.3000,139876.60,41962.98,,False
OP00144,CA00144,2024-02-02,2024-03-21,C021,S009,R03,P007,Negotiation,0.7200,37584.11,27060.56,,False
OP00145,CA00145,2024-01-28,2024-03-21,C013,S008,R02,P005,Proposal,0.5500,123571.94,67964.56,,False
OP00146,CA00146,2024-01-18,2024-03-07,C029,S005,R05,P001,Closed Won,1.0000,73004.15,73004.15,,False
OP00147,CA00147,2023-12-17,2024-03-06,C004,S007,R01,P002,Qualified,0.3000,181.53,54.46,,False
OP00148,CA00148,2023-12-30,2024-02-28,C004,S005,R05,P007,Closed Lost,0.0000,2211.03,0.00,Competitor,True
OP00149,CA00149,2024-02-08,2024-03-07,C024,S004,R04,P006,Proposal,0.5500,26461.67,14553.92,,True
OP00150,CA00150,2024-01-14,2024-03-04,C027,S009,R03,P002,Closed Lost,0.0000,395351.37,0.00,Budget Frozen,False
OP00151,CA00151,2024-01-30,2024-03-16,C005,S012,R06,P008,Proposal,0.5500,132849.96,73067.48,,False
OP00152,CA00152,2024-01-02,2024-03-12,C011,S010,R04,P005,Prospecting,0.1500,100786.50,15117.97,,False
OP00153,CA00153,2024-01-27,2024-03-31,C005,S010,R04,P006,Proposal,0.5500,13834.55,7609.00,,False
OP00154,CA00154,2024-02-06,2024-03-24,C025,S001,R01,P003,Proposal,0.5500,82254.02,45239.71,,False
OP00155,CA00155,2024-03-22,2024-04-03,C011,S004,R04,P004,Closed Won,1.0000,105853.82,105853.82,,False
OP00156,CA00156,2024-02-26,2024-04-06,C025,S004,R04,P006,Proposal,0.5500,18569.41,10213.17,,False
OP00157,CA00157,2024-02-07,2024-04-07,C012,S011,R05,P006,Proposal,0.5500,18216.89,10019.29,,False
OP00158,CA00158,2024-02-04,2024-04-13,C023,S007,R01,P005,Proposal,0.5500,34056.06,18730.83,,True
OP00159,CA00159,2024-01-12,2024-03-14,C007,S007,R01,P003,Negotiation,0.7200,524661.27,377756.11,,False
OP00160,CA00160,2024-01-18,2024-03-23,C012,S009,R03,P006,Qualified,0.3000,51277.18,15383.15,,False
OP00161,CA00161,2024-01-07,2024-03-20,C003,S007,R01,P006,Proposal,0.5500,32034.38,17618.91,,False
OP00162,CA00162,2024-03-06,2024-03-30,C021,S010,R04,P006,Prospecting,0.1500,20477.98,3071.70,,False
OP00163,CA00163,2024-02-03,2024-04-15,C022,S001,R01,P007,Prospecting,0.1500,13982.80,2097.42,,False
OP00164,CA00164,2024-03-15,2024-04-06,C010,S009,R03,P006,Qualified,0.3000,30420.70,9126.21,,False
OP00165,CA00165,2024-02-02,2024-04-22,C006,S009,R03,P004,Negotiation,0.7200,178129.55,128253.27,,False
OP00166,CA00166,2024-02-27,2024-04-01,C010,S010,R04,P003,Proposal,0.5500,97270.77,53498.93,,False
OP00167,CA00167,2024-01-15,2024-04-04,C010,S012,R06,P005,Proposal,0.5500,149564.39,82260.41,,False
OP00168,CA00168,2024-01-27,2024-03-13,C026,S007,R01,P007,Negotiation,0.7200,58498.36,42118.82,,False
OP00169,CA00169,2024-03-31,2024-04-15,C029,S001,R01,P006,Qualified,0.3000,88078.69,26423.61,,False
OP00170,CA00170,2024-02-26,2024-03-27,C012,S005,R05,P008,Closed Won,1.0000,199392.20,199392.20,,False
OP00171,CA00171,2024-03-07,2024-04-10,C018,S011,R05,P004,Closed Lost,0.0000,41416.24,0.00,Competitor,False
OP00172,CA00172,2024-02-16,2024-03-30,C017,S006,R06,P007,Prospecting,0.1500,43920.39,6588.06,,False
OP00173,CA00173,2024-01-29,2024-04-10,C013,S012,R06,P006,Qualified,0.3000,16175.46,4852.64,,False
OP00174,CA00174,2024-01-07,2024-03-27,C015,S004,R04,P005,Prospecting,0.1500,142176.32,21326.45,,False
OP00175,CA00175,2024-02-18,2024-04-09,C010,S001,R01,P005,Proposal,0.5500,176953.42,97324.38,,False
OP00176,CA00176,2024-02-15,2024-04-12,C002,S010,R04,P005,Closed Won,1.0000,194543.08,194543.08,,False
OP00177,CA00177,2024-03-12,2024-04-01,C004,S006,R06,P002,Proposal,0.5500,19117.65,10514.71,,False
OP00178,CA00178,2024-03-05,2024-03-20,C017,S002,R02,P001,Prospecting,0.1500,18166.47,2724.97,,False
OP00179,CA00179,2024-01-02,2024-03-31,C023,S002,R02,P002,Proposal,0.5500,93727.79,51550.29,,False
OP00180,CA00180,2024-01-07,2024-03-28,C028,S004,R04,P001,Proposal,0.5500,46735.81,25704.69,,False
OP00181,CA00181,2024-03-05,2024-04-19,C008,S002,R02,P008,Closed Lost,0.0000,121194.81,0.00,Timing,False
OP00182,CA00182,2024-02-01,2024-04-05,C008,S007,R01,P004,Negotiation,0.7200,90129.26,64893.07,,False
OP00183,CA00183,2024-01-13,2024-04-08,C007,S005,R05,P008,Closed Won,1.0000,165351.97,165351.97,,False
OP00184,CA00184,2024-02-19,2024-03-28,C020,S005,R05,P008,Closed Won,1.0000,110036.32,110036.32,,True
OP00185,CA00185,2024-02-27,2024-03-17,C028,S011,R05,P002,Closed Won,1.0000,11159.06,11159.06,,False
OP00186,CA00186,2024-02-15,2024-04-05,C008,S006,R06,P002,Negotiation,0.7200,487878.36,351272.42,,False
OP00187,CA00187,2024-02-21,2024-03-30,C015,S002,R02,P007,Closed Won,1.0000,15099.29,15099.29,,False
OP00188,CA00188,2024-03-04,2024-03-17,C019,S004,R04,P004,Closed Won,1.0000,280488.26,280488.26,,False
OP00189,CA00189,2024-02-03,2024-04-06,C030,S009,R03,P006,Prospecting,0.1500,25462.86,3819.43,,False
OP00190,CA00190,2024-02-13,2024-03-10,C019,S007,R01,P005,Prospecting,0.1500,208881.49,31332.22,,False
OP00191,CA00191,2024-03-17,2024-04-01,C009,S009,R03,P008,Proposal,0.5500,187353.92,103044.66,,True
OP00192,CA00192,2024-03-04,2024-03-29,C028,S006,R06,P007,Prospecting,0.1500,21621.08,3243.16,,False
OP00193,CA00193,2024-02-17,2024-04-06,C007,S004,R04,P004,Prospecting,0.1500,94627.44,14194.12,,False
OP00194,CA00194,2024-04-04,2024-04-18,C025,S005,R05,P008,Prospecting,0.1500,169814.42,25472.16,,False
OP00195,CA00195,2024-01-30,2024-04-11,C013,S007,R01,P003,Proposal,0.5500,48590.92,26725.01,,False
OP00196,CA00196,2024-03-05,2024-04-08,C016,S006,R06,P007,Closed Won,1.0000,8463.27,8463.27,,False
OP00197,CA00197,2024-01-29,2024-03-29,C005,S007,R01,P006,Closed Won,1.0000,92673.84,92673.84,,False
OP00198,CA00198,2024-02-18,2024-04-05,C022,S010,R04,P001,Negotiation,0.7200,61172.75,44044.38,,False
OP00199,CA00199,2024-03-13,2024-04-11,C025,S003,R03,P001,Proposal,0.5500,85827.66,47205.22,,False
OP00200,CA00200,2024-01-28,2024-04-03,C009,S003,R03,P008,Closed Won,1.0000,212510.65,212510.65,,False
OP00201,CA00201,2024-04-02,2024-04-15,C005,S001,R01,P004,Closed Won,1.0000,211214.19,211214.19,,False
OP00202,CA00202,2024-02-13,2024-04-05,C017,S003,R03,P001,Closed Lost,0.0000,19858.83,0.00,Timing,False
OP00203,CA00203,2024-02-26,2024-05-05,C027,S012,R06,P003,Prospecting,0.1500,71697.43,10754.61,,False
OP00204,CA00204,2024-03-07,2024-04-14,C020,S001,R01,P004,Negotiation,0.7200,338951.52,244045.09,,False
OP00205,CA00205,2024-03-15,2024-05-03,C024,S012,R06,P006,Qualified,0.3000,59708.96,17912.69,,False
OP00206,CA00206,2024-04-11,2024-04-25,C020,S007,R01,P008,Closed Won,1.0000,209294.90,209294.90,,False
OP00207,CA00207,2024-02-19,2024-04-22,C018,S011,R05,P005,Closed Won,1.0000,310277.87,310277.87,,False
OP00208,CA00208,2024-02-05,2024-04-27,C003,S006,R06,P006,Negotiation,0.7200,3984.08,2868.53,,False
OP00209,CA00209,2024-03-29,2024-04-29,C028,S008,R02,P005,Qualified,0.3000,135930.60,40779.18,,False
OP00210,CA00210,2024-04-10,2024-05-05,C028,S011,R05,P007,Negotiation,0.7200,58721.54,42279.51,,False
OP00211,CA00211,2024-02-05,2024-04-24,C008,S001,R01,P004,Closed Won,1.0000,98371.35,98371.35,,True
OP00212,CA00212,2024-03-04,2024-05-03,C007,S006,R06,P001,Qualified,0.3000,15774.75,4732.42,,False
OP00213,CA00213,2024-02-02,2024-04-15,C029,S009,R03,P002,Prospecting,0.1500,58387.62,8758.14,,False
OP00214,CA00214,2024-02-01,2024-04-30,C012,S001,R01,P001,Closed Lost,0.0000,67682.58,0.00,Budget Frozen,False
OP00215,CA00215,2024-04-14,2024-05-03,C027,S008,R02,P008,Closed Lost,0.0000,167191.09,0.00,Timing,False
OP00216,CA00216,2024-03-21,2024-04-18,C026,S001,R01,P003,Qualified,0.3000,689278.29,206783.49,,False
OP00217,CA00217,2024-04-25,2024-05-09,C004,S001,R01,P008,Negotiation,0.7200,573432.18,412871.17,,False
OP00218,CA00218,2024-04-06,2024-05-23,C014,S001,R01,P004,Closed Won,1.0000,291957.33,291957.33,,False
OP00219,CA00219,2024-02-16,2024-05-06,C003,S006,R06,P008,Proposal,0.5500,405554.67,223055.07,,False
OP00220,CA00220,2024-02-03,2024-04-15,C013,S003,R03,P004,Prospecting,0.1500,347933.05,52189.96,,False
OP00221,CA00221,2024-04-14,2024-05-05,C020,S003,R03,P005,Closed Lost,0.0000,259592.94,0.00,Budget Frozen,False
OP00222,CA00222,2024-02-14,2024-04-21,C009,S004,R04,P001,Qualified,0.3000,200091.41,60027.42,,True
OP00223,CA00223,2024-02-05,2024-04-27,C005,S012,R06,P005,Negotiation,0.7200,159392.39,114762.52,,False
OP00224,CA00224,2024-04-01,2024-04-29,C029,S012,R06,P002,Proposal,0.5500,29514.69,16233.08,,False
OP00225,CA00225,2024-03-23,2024-05-11,C003,S010,R04,P006,Prospecting,0.1500,147160.40,22074.06,,False
OP00226,CA00226,2024-02-25,2024-05-07,C021,S005,R05,P008,Qualified,0.3000,506361.01,151908.30,,True
OP00227,CA00227,2024-04-13,2024-05-01,C002,S002,R02,P008,Prospecting,0.1500,132868.94,19930.34,,True
OP00228,CA00228,2024-03-13,2024-05-24,C018,S011,R05,P007,Prospecting,0.1500,122571.21,18385.68,,False
OP00229,CA00229,2024-03-05,2024-05-05,C002,S004,R04,P005,Proposal,0.5500,400364.45,220200.45,,False
