ForecastKey,MonthStartDate,RegionKey,ProductKey,ForecastRevenue,ForecastCost,ForecastVersion
FC202403R04P005,2024-03-01,R04,P005,104991.59,36672.09,Rolling Forecast
FC202403R04P006,2024-03-01,R04,P006,71330.71,19616.34,Rolling Forecast
FC202403R04P007,2024-03-01,R04,P007,65876.38,20104.79,Rolling Forecast
FC202403R04P008,2024-03-01,R04,P008,110033.27,40706.70,Rolling Forecast
FC202403R05P001,2024-03-01,R05,P001,77225.77,32577.16,Rolling Forecast
FC202403R05P002,2024-03-01,R05,P002,82794.71,36646.75,Rolling Forecast
FC202403R05P003,2024-03-01,R05,P003,94232.86,36207.87,Rolling Forecast
FC202403R05P004,2024-03-01,R05,P004,107842.05,35760.52,Rolling Forecast
FC202403R05P005,2024-03-01,R05,P005,114432.65,36890.81,Rolling Forecast
FC202403R05P006,2024-03-01,R05,P006,72964.64,20115.45,Rolling Forecast
FC202403R05P007,2024-03-01,R05,P007,70040.18,23096.46,Rolling Forecast
FC202403R05P008,2024-03-01,R05,P008,126473.44,45336.67,Rolling Forecast
FC202403R06P001,2024-03-01,R06,P001,79531.93,34756.40,Rolling Forecast
FC202403R06P002,2024-03-01,R06,P002,94093.17,43071.06,Rolling Forecast
FC202403R06P003,2024-03-01,R06,P003,90330.56,35993.31,Rolling Forecast
FC202403R06P004,2024-03-01,R06,P004,117017.72,40319.47,Rolling Forecast
FC202403R06P005,2024-03-01,R06,P005,91591.81,31075.35,Rolling Forecast
FC202403R06P006,2024-03-01,R06,P006,72109.30,21421.08,Rolling Forecast
FC202403R06P007,2024-03-01,R06,P007,64853.46,21245.91,Rolling Forecast
FC202403R06P008,2024-03-01,R06,P008,117981.11,42005.81,Rolling Forecast
FC202404R01P001,2024-04-01,R01,P001,95769.50,40517.90,Rolling Forecast
FC202404R01P002,2024-04-01,R01,P002,90525.96,40011.52,Rolling Forecast
FC202404R01P003,2024-04-01,R01,P003,95239.75,38735.17,Rolling Forecast
FC202404R01P004,2024-04-01,R01,P004,107111.60,36854.77,Rolling Forecast
FC202404R01P005,2024-04-01,R01,P005,116070.27,39757.55,Rolling Forecast
FC202404R01P006,2024-04-01,R01,P006,75345.89,22170.33,Rolling Forecast
FC202404R01P007,2024-04-01,R01,P007,82292.20,24834.11,Rolling Forecast
FC202404R01P008,2024-04-01,R01,P008,124330.20,44537.33,Rolling Forecast
FC202404R02P001,2024-04-01,R02,P001,72218.78,30610.53,Rolling Forecast
FC202404R02P002,2024-04-01,R02,P002,85337.41,38965.08,Rolling Forecast
FC202404R02P003,2024-04-01,R02,P003,107088.36,41497.53,Rolling Forecast
FC202404R02P004,2024-04-01,R02,P004,113846.85,39050.85,Rolling Forecast
FC202404R02P005,2024-04-01,R02,P005,123858.71,39978.72,Rolling Forecast
FC202404R02P006,2024-04-01,R02,P006,68672.73,19462.92,Rolling Forecast
FC202404R02P007,2024-04-01,R02,P007,71903.32,22309.55,Rolling Forecast
FC202404R02P008,2024-04-01,R02,P008,131948.54,46223.00,Rolling Forecast
FC202404R03P001,2024-04-01,R03,P001,90262.61,39119.43,Rolling Forecast
FC202404R03P002,2024-04-01,R03,P002,101254.94,46133.63,Rolling Forecast
FC202404R03P003,2024-04-01,R03,P003,103916.02,39947.27,Rolling Forecast
FC202404R03P004,2024-04-01,R03,P004,111782.64,37391.98,Rolling Forecast
FC202404R03P005,2024-04-01,R03,P005,119762.39,40757.96,Rolling Forecast
FC202404R03P006,2024-04-01,R03,P006,75871.54,22568.61,Rolling Forecast
FC202404R03P007,2024-04-01,R03,P007,90429.82,28972.73,Rolling Forecast
FC202404R03P008,2024-04-01,R03,P008,125921.14,45279.95,Rolling Forecast
FC202404R04P001,2024-04-01,R04,P001,78960.14,33395.60,Rolling Forecast
FC202404R04P002,2024-04-01,R04,P002,77188.69,34336.06,Rolling Forecast
FC202404R04P003,2024-04-01,R04,P003,102187.36,41846.45,Rolling Forecast
FC202404R04P004,2024-04-01,R04,P004,97790.66,34440.69,Rolling Forecast
FC202404R04P005,2024-04-01,R04,P005,111058.19,38110.57,Rolling Forecast
FC202404R04P006,2024-04-01,R04,P006,74633.78,20258.04,Rolling Forecast
FC202404R04P007,2024-04-01,R04,P007,79739.50,24246.72,Rolling Forecast
FC202404R04P008,2024-04-01,R04,P008,114444.83,41143.64,Rolling Forecast
FC202404R05P001,2024-04-01,R05,P001,97597.65,41373.48,Rolling Forecast
FC202404R05P002,2024-04-01,R05,P002,92818.99,41529.73,Rolling Forecast
FC202404R05P003,2024-04-01,R05,P003,102811.48,40080.05,Rolling Forecast
FC202404R05P004,2024-04-01,R05,P004,109015.76,37952.14,Rolling Forecast
FC202404R05P005,2024-04-01,R05,P005,125709.22,43271.90,Rolling Forecast
FC202404R05P006,2024-04-01,R05,P006,84393.44,24794.99,Rolling Forecast
FC202404R05P007,2024-04-01,R05,P007,72820.79,23767.85,Rolling Forecast
FC202404R05P008,2024-04-01,R05,P008,133462.80,50295.43,Rolling Forecast
FC202404R06P001,2024-04-01,R06,P001,86486.58,37795.66,Rolling Forecast
FC202404R06P002,2024-04-01,R06,P002,95564.97,42184.30,Rolling Forecast
FC202404R06P003,2024-04-01,R06,P003,96950.50,38980.93,Rolling Forecast
FC202404R06P004,2024-04-01,R06,P004,112351.96,37528.14,Rolling Forecast
FC202404R06P005,2024-04-01,R06,P005,104028.60,35671.38,Rolling Forecast
FC202404R06P006,2024-04-01,R06,P006,69546.39,20360.57,Rolling Forecast
FC202404R06P007,2024-04-01,R06,P007,78820.89,25919.12,Rolling Forecast
FC202404R06P008,2024-04-01,R06,P008,115236.77,41185.46,Rolling Forecast
FC202405R01P001,2024-05-01,R01,P001,86409.82,36662.98,Rolling Forecast
FC202405R01P002,2024-05-01,R01,P002,97766.08,45615.50,Rolling Forecast
FC202405R01P003,2024-05-01,R01,P003,110673.72,42409.48,Rolling Forecast
FC202405R01P004,2024-05-01,R01,P004,126754.19,43942.41,Rolling Forecast
FC202405R01P005,2024-05-01,R01,P005,132960.01,46444.67,Rolling Forecast
FC202405R01P006,2024-05-01,R01,P006,91585.85,24742.78,Rolling Forecast
FC202405R01P007,2024-05-01,R01,P007,95234.01,30609.78,Rolling Forecast
FC202405R01P008,2024-05-01,R01,P008,148023.35,55255.22,Rolling Forecast
FC202405R02P001,2024-05-01,R02,P001,73506.77,30394.96,Rolling Forecast
FC202405R02P002,2024-05-01,R02,P002,95029.55,42096.61,Rolling Forecast
FC202405R02P003,2024-05-01,R02,P003,115282.75,44348.00,Rolling Forecast
FC202405R02P004,2024-05-01,R02,P004,125950.19,43627.09,Rolling Forecast
FC202405R02P005,2024-05-01,R02,P005,116824.17,39149.97,Rolling Forecast
FC202405R02P006,2024-05-01,R02,P006,80980.34,22987.68,Rolling Forecast
FC202405R02P007,2024-05-01,R02,P007,82180.09,26063.88,Rolling Forecast
FC202405R02P008,2024-05-01,R02,P008,138749.84,51192.47,Rolling Forecast
FC202405R03P001,2024-05-01,R03,P001,100474.22,41459.21,Rolling Forecast
FC202405R03P002,2024-05-01,R03,P002,101880.13,47582.66,Rolling Forecast
FC202405R03P003,2024-05-01,R03,P003,117957.10,47802.47,Rolling Forecast
FC202405R03P004,2024-05-01,R03,P004,119534.63,39837.67,Rolling Forecast
FC202405R03P005,2024-05-01,R03,P005,125892.82,43606.51,Rolling Forecast
FC202405R03P006,2024-05-01,R03,P006,79360.88,23122.67,Rolling Forecast
FC202405R03P007,2024-05-01,R03,P007,94407.63,30687.71,Rolling Forecast
FC202405R03P008,2024-05-01,R03,P008,129022.84,48452.38,Rolling Forecast
FC202405R04P001,2024-05-01,R04,P001,79560.63,33473.60,Rolling Forecast
FC202405R04P002,2024-05-01,R04,P002,84295.27,37953.15,Rolling Forecast
FC202405R04P003,2024-05-01,R04,P003,102195.06,41343.22,Rolling Forecast
FC202405R04P004,2024-05-01,R04,P004,105172.57,37472.10,Rolling Forecast
FC202405R04P005,2024-05-01,R04,P005,113613.25,39196.78,Rolling Forecast
FC202405R04P006,2024-05-01,R04,P006,87690.58,23824.83,Rolling Forecast
FC202405R04P007,2024-05-01,R04,P007,75522.23,23572.42,Rolling Forecast
FC202405R04P008,2024-05-01,R04,P008,112686.86,39871.85,Rolling Forecast
FC202405R05P001,2024-05-01,R05,P001,88652.29,38395.53,Rolling Forecast
FC202405R05P002,2024-05-01,R05,P002,93443.47,43465.55,Rolling Forecast
FC202405R05P003,2024-05-01,R05,P003,120035.37,48881.41,Rolling Forecast
FC202405R05P004,2024-05-01,R05,P004,129773.65,44675.74,Rolling Forecast
FC202405R05P005,2024-05-01,R05,P005,131393.81,42759.10,Rolling Forecast
FC202405R05P006,2024-05-01,R05,P006,76688.82,21833.32,Rolling Forecast
FC202405R05P007,2024-05-01,R05,P007,95763.57,30158.98,Rolling Forecast
FC202405R05P008,2024-05-01,R05,P008,126866.68,46479.42,Rolling Forecast
FC202405R06P001,2024-05-01,R06,P001,85761.87,36486.06,Rolling Forecast
FC202405R06P002,2024-05-01,R06,P002,104440.64,47648.42,Rolling Forecast
FC202405R06P003,2024-05-01,R06,P003,104712.66,41710.72,Rolling Forecast
FC202405R06P004,2024-05-01,R06,P004,121851.36,43576.32,Rolling Forecast
FC202405R06P005,2024-05-01,R06,P005,130336.76,44124.07,Rolling Forecast
FC202405R06P006,2024-05-01,R06,P006,84210.49,24387.36,Rolling Forecast
FC202405R06P007,2024-05-01,R06,P007,84275.58,26193.30,Rolling Forecast
FC202405R06P008,2024-05-01,R06,P008,146139.75,54467.87,Rolling Forecast
FC202406R01P001,2024-06-01,R01,P001,89385.47,37630.21,Rolling Forecast
FC202406R01P002,2024-06-01,R01,P002,99860.68,46445.88,Rolling Forecast
FC202406R01P003,2024-06-01,R01,P003,99033.91,38141.72,Rolling Forecast
FC202406R01P004,2024-06-01,R01,P004,120028.61,42109.98,Rolling Forecast
FC202406R01P005,2024-06-01,R01,P005,129774.32,43247.02,Rolling Forecast
FC202406R01P006,2024-06-01,R01,P006,78233.17,21174.13,Rolling Forecast
FC202406R01P007,2024-06-01,R01,P007,87602.87,27396.74,Rolling Forecast
FC202406R01P008,2024-06-01,R01,P008,166611.56,62737.22,Rolling Forecast
FC202406R02P001,2024-06-01,R02,P001,84990.11,35890.04,Rolling Forecast
FC202406R02P002,2024-06-01,R02,P002,107266.49,47390.89,Rolling Forecast
FC202406R02P003,2024-06-01,R02,P003,99550.71,39549.80,Rolling Forecast
FC202406R02P004,2024-06-01,R02,P004,124820.33,43157.09,Rolling Forecast
FC202406R02P005,2024-06-01,R02,P005,118654.23,38303.00,Rolling Forecast
FC202406R02P006,2024-06-01,R02,P006,95458.26,26883.22,Rolling Forecast
FC202406R02P007,2024-06-01,R02,P007,89629.18,28007.04,Rolling Forecast
FC202406R02P008,2024-06-01,R02,P008,140930.66,51203.80,Rolling Forecast
FC202406R03P001,2024-06-01,R03,P001,90025.34,39043.75,Rolling Forecast
FC202406R03P002,2024-06-01,R03,P002,102422.95,46741.82,Rolling Forecast
FC202406R03P003,2024-06-01,R03,P003,130287.32,50270.13,Rolling Forecast
FC202406R03P004,2024-06-01,R03,P004,115624.64,41000.90,Rolling Forecast
FC202406R03P005,2024-06-01,R03,P005,123814.46,41729.86,Rolling Forecast
FC202406R03P006,2024-06-01,R03,P006,103189.80,29801.83,Rolling Forecast
FC202406R03P007,2024-06-01,R03,P007,102522.62,32059.13,Rolling Forecast
FC202406R03P008,2024-06-01,R03,P008,140773.36,52679.60,Rolling Forecast
FC202406R04P001,2024-06-01,R04,P001,80269.92,34915.93,Rolling Forecast
FC202406R04P002,2024-06-01,R04,P002,99605.49,46659.08,Rolling Forecast
FC202406R04P003,2024-06-01,R04,P003,93256.80,38194.40,Rolling Forecast
FC202406R04P004,2024-06-01,R04,P004,103826.85,34430.55,Rolling Forecast
FC202406R04P005,2024-06-01,R04,P005,107423.73,36004.44,Rolling Forecast
FC202406R04P006,2024-06-01,R04,P006,79209.05,21919.97,Rolling Forecast
FC202406R04P007,2024-06-01,R04,P007,80308.73,25332.19,Rolling Forecast
FC202406R04P008,2024-06-01,R04,P008,131143.26,48446.22,Rolling Forecast
FC202406R05P001,2024-06-01,R05,P001,97691.44,41465.53,Rolling Forecast
FC202406R05P002,2024-06-01,R05,P002,91134.95,42632.82,Rolling Forecast
FC202406R05P003,2024-06-01,R05,P003,115547.63,46846.35,Rolling Forecast
FC202406R05P004,2024-06-01,R05,P004,140941.38,48459.83,Rolling Forecast
FC202406R05P005,2024-06-01,R05,P005,136319.05,43828.41,Rolling Forecast
FC202406R05P006,2024-06-01,R05,P006,87205.35,24573.51,Rolling Forecast
FC202406R05P007,2024-06-01,R05,P007,79110.04,24150.67,Rolling Forecast
FC202406R05P008,2024-06-01,R05,P008,142423.60,53268.74,Rolling Forecast
FC202406R06P001,2024-06-01,R06,P001,92943.39,38339.93,Rolling Forecast
FC202406R06P002,2024-06-01,R06,P002,89280.10,40301.61,Rolling Forecast
FC202406R06P003,2024-06-01,R06,P003,104125.33,41977.76,Rolling Forecast
FC202406R06P004,2024-06-01,R06,P004,134548.34,44881.46,Rolling Forecast
FC202406R06P005,2024-06-01,R06,P005,119435.00,38940.97,Rolling Forecast
FC202406R06P006,2024-06-01,R06,P006,78518.55,22358.12,Rolling Forecast
FC202406R06P007,2024-06-01,R06,P007,88943.28,26740.69,Rolling Forecast
FC202406R06P008,2024-06-01,R06,P008,142450.05,50449.11,Rolling Forecast
FC202407R01P001,2024-07-01,R01,P001,85388.23,35535.94,Rolling Forecast
FC202407R01P002,2024-07-01,R01,P002,79210.03,36132.88,Rolling Forecast
FC202407R01P003,2024-07-01,R01,P003,87562.45,35351.98,Rolling Forecast
FC202407R01P004,2024-07-01,R01,P004,112654.04,38977.56,Rolling Forecast
FC202407R01P005,2024-07-01,R01,P005,119742.81,39406.06,Rolling Forecast
FC202407R01P006,2024-07-01,R01,P006,74945.50,21427.76,Rolling Forecast
FC202407R01P007,2024-07-01,R01,P007,72631.21,23599.75,Rolling Forecast
FC202407R01P008,2024-07-01,R01,P008,128008.54,48019.30,Rolling Forecast
FC202407R02P001,2024-07-01,R02,P001,74472.66,31721.82,Rolling Forecast
FC202407R02P002,2024-07-01,R02,P002,77328.11,35860.15,Rolling Forecast
FC202407R02P003,2024-07-01,R02,P003,88677.68,35543.51,Rolling Forecast
FC202407R02P004,2024-07-01,R02,P004,103320.94,34149.20,Rolling Forecast
FC202407R02P005,2024-07-01,R02,P005,109551.32,36852.16,Rolling Forecast
FC202407R02P006,2024-07-01,R02,P006,71123.12,19663.81,Rolling Forecast
FC202407R02P007,2024-07-01,R02,P007,74155.72,23093.06,Rolling Forecast
FC202407R02P008,2024-07-01,R02,P008,128548.47,47322.61,Rolling Forecast
FC202407R03P001,2024-07-01,R03,P001,82895.62,36026.95,Rolling Forecast
FC202407R03P002,2024-07-01,R03,P002,106135.71,48670.71,Rolling Forecast
FC202407R03P003,2024-07-01,R03,P003,98416.72,39116.34,Rolling Forecast
FC202407R03P004,2024-07-01,R03,P004,112243.09,40120.70,Rolling Forecast
FC202407R03P005,2024-07-01,R03,P005,115986.61,38465.35,Rolling Forecast
FC202407R03P006,2024-07-01,R03,P006,86554.86,24759.09,Rolling Forecast
FC202407R03P007,2024-07-01,R03,P007,94930.52,30673.85,Rolling Forecast
FC202407R03P008,2024-07-01,R03,P008,124677.82,45658.45,Rolling Forecast
FC202407R04P001,2024-07-01,R04,P001,77616.96,33155.27,Rolling Forecast
FC202407R04P002,2024-07-01,R04,P002,84547.37,38307.34,Rolling Forecast
FC202407R04P003,2024-07-01,R04,P003,91032.11,35789.29,Rolling Forecast
FC202407R04P004,2024-07-01,R04,P004,100738.37,35170.72,Rolling Forecast
FC202407R04P005,2024-07-01,R04,P005,116484.76,40359.20,Rolling Forecast
FC202407R04P006,2024-07-01,R04,P006,78887.05,21393.31,Rolling Forecast
FC202407R04P007,2024-07-01,R04,P007,79744.33,25375.36,Rolling Forecast
FC202407R04P008,2024-07-01,R04,P008,124217.72,45705.72,Rolling Forecast
FC202407R05P001,2024-07-01,R05,P001,84110.46,36556.29,Rolling Forecast
FC202407R05P002,2024-07-01,R05,P002,83817.52,38316.61,Rolling Forecast
FC202407R05P003,2024-07-01,R05,P003,108612.97,41594.40,Rolling Forecast
FC202407R05P004,2024-07-01,R05,P004,128458.13,45901.82,Rolling Forecast
FC202407R05P005,2024-07-01,R05,P005,111054.43,36423.08,Rolling Forecast
FC202407R05P006,2024-07-01,R05,P006,83737.06,23254.35,Rolling Forecast
FC202407R05P007,2024-07-01,R05,P007,77864.26,24517.22,Rolling Forecast
FC202407R05P008,2024-07-01,R05,P008,133379.49,50283.59,Rolling Forecast
FC202407R06P001,2024-07-01,R06,P001,72812.79,30683.17,Rolling Forecast
FC202407R06P002,2024-07-01,R06,P002,85436.86,39360.00,Rolling Forecast
FC202407R06P003,2024-07-01,R06,P003,96397.97,37472.75,Rolling Forecast
FC202407R06P004,2024-07-01,R06,P004,123114.11,42567.30,Rolling Forecast
FC202407R06P005,2024-07-01,R06,P005,107260.42,34589.44,Rolling Forecast
FC202407R06P006,2024-07-01,R06,P006,67192.22,18176.89,Rolling Forecast
FC202407R06P007,2024-07-01,R06,P007,69033.08,20917.88,Rolling Forecast
FC202407R06P008,2024-07-01,R06,P008,115059.09,40376.17,Rolling Forecast
FC202408R01P001,2024-08-01,R01,P001,77870.34,32648.60,Rolling Forecast
FC202408R01P002,2024-08-01,R01,P002,84116.49,38438.46,Rolling Forecast
